Vuosi;Tunnusluku;Helsingin seudun liikenne;Hämeenlinna;Lahti;Riihimäki;Hyvinkää;Lappeenranta;Imatra;Kotka;Kouvola;Mikkeli;Savonlinna;Joensuu;Kuopio;Kokkola;Seinäjoki;Vaasa;Jyväskylä;Tampere;Turku;Pori;Rauma;Salo;Oulu;Kajaani;Kemi;Rovaniemi;Uusimaa;Kaakkois-Suomi;Pohjois-Savo;Etelä-Pohjanmaa;Keski-Suomi;Pirkanmaa;Varsinais-Suomi;Pohjois-Pohjanmaa;Lappi
2013;Joukkoliikenteen lippualue;HSL;Hämeenlinna;Lahti;Riihimäki;Hyvinkää;Lappeenranta;Imatra;Kotka;Kouvola;Mikkeli;Savonlinna;Joensuu;Kuopio;Kokkola;Seinäjoki;Vaasa;Jyväskylä;Tampere;Turku;Pori;Rauma;Salo;Oulu;Kajaani;Kemi;Rovaniemi;;;;;;;;;
2013;Toimivaltainen viranomainen:;HSL;Hämeenlinna;Lahti;Riihimäki;Hyvinkää;Lappeenranta;Imatra;Kotka;Kouvola;Mikkeli;Savonlinna;Joensuu;Kuopio;Kokkola;Seinäjoki;Vaasa;Jyväskylä;Tampere;Turku;Pori;Rauma;Salo;Oulu;Kajaani;Kemi;Rovaniemi;UUD-ELY;KaS-ELY;PoS-ELY;EPO-ELY;KES-ELY;PIR-ELY;VAR-ELY;POP-ELY;LAP-ELY
2013;Kuntaviranomainen (pieni =1, keskisuuri =2, suuri = 3) vai ELY (lippualue = 4, muu liikenne = 5);3;2;2;1;1;2;1;2;2;1;1;2;2;1;1;2;2;3;3;2;1;1;3;1;1;1;;;;;;;;;
2013;Suunnittelun ja organisaation henkilöstö, henkilötyövuotta;360,04;1,2;0;0;0;2,1;0,5;2;1;0;4;1,5;2,5;0,2;0,6;1,5;1,5;19;15;2;1;0;3;0;0,1;1;5,5;0;6;3;0;2;0;2;1,5
2013;Ulkoistettujen palveluiden kustannukset asiakaspalvelu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;Ulkoistettujen palveluiden kustannukset, konsulttipalvelut;3248085,14;10000;0;0;0;72500;0;0;24186;0;0;52000;0;3000;0;10000;107804;80000;200000;0;0;0;57500;0;15000;0;0;0;0;20000;90556;0;0;41348;15572
2013;Ulkoistettujen palveluiden kustannukset , lipunmyyntipalkkiot;6236000;0;0;3376,93;0;0;2691;0;0;0;0;0;0;0;0;36980;0;700000;120000;0;0;0;0;0;6137;0;0;0;0;0;0;0;0;0;0
2013;Ulkoistettujen palveluiden kustannukset , tieto-/maksujärjestelmät;7691969,11;10000;0;0;0;22600;0;0;0;0;0;6300;0;0;0;30000;15000;800000;350000;0;0;0;2500;0;0;0;0;0;0;0;0;0;0;6642;0
2013;Ulkoistettujen palveluiden kustannukset , muut palvelut;6026596,99;0;0;0;0;0;0;0;6332;0;0;0;0;0;0;3000;0;0;70000;0;0;0;41000;0;0;10000;0;0;0;0;0;0;0;4800;0
2013;Alueen kuntien lukumäärä;7;3;0;1;0;1;1;1;1;0;6;3;2;1;1;1;3;8;6;5;1;0;11;0;1;1;22;12;92;39;20;14;35;33;19
2013;Joukkoliikenteen lippujärjestelmän vyöhykkeiden määrä;3;12;0;1;0;1;1;7;0;0;0;0;4; ;0;2;2;0;1;0;1;0;0;0;1;2;0;0;44;0;0;0;0;0;2
2013;Maapinta-ala, km2;1506,46;2690,83;0;121;0;1433;155;272;2543;0;3598;3909;3673;1444;1469,19;397;1964;3736;1081;2022,58;495;0;6974,57;0;95,41;7582;13353,62;6060;61082;22973;14738;8547;12497,81;58495;91603
2013;Asukasmäärä ;1165811;94332;0;29318;0;72600;28133;54771;86926;0;36584;101289;128068;47031;60500;66321;162818;369000;280688;117740;39979;0;245585;0;22120;61215;369124;70523;569887;251695;112502;130641;196476;194637;99179
2013;Työpaikkamäärä;643736;38601;0;11741;0;31000;0;23118;34211;0;13985;40607;56000;21000;28000;36185;70435;165000;129129;48581;17482;0;0;0;9456;25479;129748;20724;248173;92342;39134;52702;91391;73648;36057
2013;Pendelöivien osuus alueella (oman kunnan ulkopuolella työssäkäynti);5;35;0;20,91888942;0;13;0;16,3;14;0;10,6;25;0;12,5;17,6;12;0,2286;36;62,13;42,22;0;0;0;0;24,1;9;0;9,4;17,50625;6,96;0;7,088892461;6,833333333;25,5;0,2
2013;Henkilöautoliikenteen suorite  (jos tiedossa);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;360;0;0;937;0;0;0;0;0;0;0;0;0;3363,323974;0;0;1370;0;0;0
2013;Autoistumisaste;461;0;0;540;0;559;0;465;440;0;0;0;0;636;668;571;500;446;601,2;527;0;0;0;0;550;580;1665,54;0;4708;675;622;677;685;1089;638
2013;Toimivalta-alueen pysäkkien lukumäärä;10605;1800;0;0;0;300;266;160;1452;0;711;700;1650;135;0;200;1860;0;0;1567;414;0;1897;0;198;1180;11921;3200;26773;6700;4971;3564;4700;7355;5692
